"
Source",Unit no.,Function,"Work party / supply depot address
",Town,Full Address,Latitude,Longitude,County (ancient),County (modern),Opened,Closed,"Established / run by (last name)
",First and middle names,Gender,Marital status,Collaborators
http://www.scarletfinders.co.uk/178.html,1591,general supply depot,"BERESFORD, ESQ. 51 DAWSON STREET",Dublin,Dublin Ireland ,53.3498053,-6.2603097,,Dublin,,[1919],Pack,D. R.,not stated,not stated,
http://www.scarletfinders.co.uk/178.html,1608,central supply depot for the SOUTH OF IRELAND,40 MERRION SQUARE,Dublin,Dublin Ireland ,53.3498053,-6.2603097,,Dublin,,[1919],Dallas Pratt,Eleanor Bruce,f,married,
http://www.scarletfinders.co.uk/178.html,5066,general supply depot,29 LOWER FITZWILLIAM STREET,Dublin,Dublin Ireland ,53.3498053,-6.2603097,,Dublin,,[1919],Thompson,L.,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,Royal College of Science,Dublin,Dublin Ireland ,53.3498053,-6.2603097,Dublin,,,[1919],Fletcher,Mrs,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Dundrum,Dundrum Ireland ,53.2931758,-6.246175,Dublin,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5352,general supply depot,HORN HEAD,Dunfanaghy,Dunfanaghy Ireland ,55.1834711,-7.9694369,,Tyrone,,[1919],Stewart,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,4627,general supply depot,THE VILLA,Dungannon,Dungannon Ireland ,54.5082725,-6.7669352,,Tyrone,,[1919],Darragh,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5020,general supply depot,THE RECTORY,Dunkineely,Dunkineely Ireland ,54.6320711,-8.3570787,,,,[1919],McClenaghan,H. S. G.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Durrow,Durrow Ireland ,52.845268,-7.3965245,Queen’s County,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Edenderry,Edenderry Ireland ,53.3432843,-7.0505832,King's County,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Ennis,Ennis Ireland ,52.8474255,-8.9887384,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Enniscorthy,Enniscorthy Ireland ,52.5068183,-6.5819746,Wexford,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Enniskerry,Enniskerry Ireland ,53.1935037,-6.1707299,Wicklow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Eyrecourt,Eyrecourt Ireland ,53.1997171,-8.131427,Galway,Galway,1918,1919,Eyre,J.,f,single,
"Fermanagh Herald 1903-current, Saturday, September 01, 1917; Page: 3",none,moss collection centre (associated with the War Working Guild),not stated,Enniskillen,Enniskillen Ireland,,,,,,,,,,,
"Irish Examiner 1841-current, Wednesday, December 22, 1915; Page: 4",none,general supply depot,Grange Cottage / Fermoy House,Fermoy,Fermoy Ireland,,,,,1915,,Gordon / Montgomery?,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Ferns,Ferns Ireland ,52.5909249,-6.4980105,Wexford,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4095,general supply depot,CLONACODY,Fethard,Fethard Ireland ,52.4659436,-7.6927334,,,,[1919],Kellett,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Finnea,Finnea Ireland ,53.7799558,-7.3884514,Meath,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5124,general supply depot,not stated,Flintona,Flintona Ireland ,54.4967772,-7.3146075,,,,[1919],Walker,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Frenchpark,Frenchpark Ireland ,53.8695107,-8.4074281,Roscommon,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5635,general supply depot,LODGE PARK,Freshford,Freshford Ireland ,52.7325047,-7.3968551,,,,[1919],Purdon,C. S.,f,married,
"Connacht Tribune 1909-current, Saturday, September 09, 1916; Page: 8",none,regional supply depot,"""house to be taken""",Galway,Galway Ireland ,53.270668,-9.0567905,Galway,,Sept. 1916,[1919],Lady Ashtown,,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Galway,Galway Ireland ,53.270668,-9.0567905,Galway,,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Galway,Galway Ireland ,53.270668,-9.0567905,Galway,,1915,[1919],Moon,Mrs,f,married,The Misses Moon
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Gaybrook,Gaybrook Ireland ,53.476593,-7.3229567,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Geashill,Geashill Ireland ,53.2352224,-7.3209776,King's County,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Gilford,Gilford Ireland ,54.3719875,-6.3610955,Down,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Glandore,Glandore Ireland ,51.5665072,-9.1209722,Cork,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1846,general supply depot,LOTA PARK,Glanmire,Glanmire Ireland ,51.9177097,-8.3981691,,Cork,,[1919],Hartopp Gubbins,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Glenbeigh,Glenbeigh Ireland ,52.0561861,-9.9403477,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Glendalough,Glendalough Ireland ,53.01198,-6.32984,Wicklow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,"Glenfies (now: Glenties, Na Gleannta)","Glenfies (now: Glenties, Na Gleannta) Ireland ",54.7971669,-8.2830316,Donegal,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,"Goole (or: Coole, An Chúil, Westmeath)","Goole (or: Coole, An Chúil, Westmeath) Ireland ",53.6992601,-7.3666546,Meath,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Gort,Gort Ireland ,53.0666432,-8.8187485,Galway,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5643,general supply depot,BALLYNURE,Grangecon,Grangecon Ireland ,52.997873,-6.74315,,,,[1919],Mitchell,G.,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Greystones,Greystones Ireland ,53.1491175,-6.0793414,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Hamilton,Hamilton Ireland ,54.01667,-7.51667,Armagh,Cavan,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Hollymount,Hollymount Ireland ,53.6607241,-9.1172608,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Howth,Howth Ireland ,53.3785693,-6.0570132,Dublin,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Inagh,Inagh Ireland ,52.8769834,-9.1767645,Clare,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4066,general supply depot,DRUMBANAGHER,Jerrestspass,Jerrestspass Ireland ,54.23726,-6.37383,,Down,,[1919],Close,Lady Muriel,f,not stated,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Drogheda Independent 1884-current, Saturday, April 15, 1916; Section: Front page, Page: 1",none,moss collection centre & general supply depot?,not stated,Kells,Kells Ireland ,53.7271803,-6.8769722,Kildare,,,[1919],Fowler,G.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Kells Sta. (railroad station?),Kells Sta. (railroad station?) Ireland ,53.7271803,-6.8769722,Kerry (kann nicht stimmen??),,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Kenmare,Kenmare Ireland ,51.8801017,-9.5835203,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Kenmare,Kenmare Ireland ,51.8801017,-9.5835203,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Kilcullen,Kilcullen Ireland ,53.1302865,-6.7452791,Kildare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Kerry News 1894-1941, Monday, September 11, 1916; Page: 3",none,moss depot,not stated,Kilgarvan,Kilgarvan Ireland ,51.9031476,-9.4384061,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Kerry Advocate 1914-1916, Saturday, March 18, 1916; Page: 8",none,moss collection centre (associated with the Red Cross Society),not stated,Kilgarvan,Kilgarvan Ireland ,51.9031476,-9.4384061,Kerry,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5129,general supply depot,LIONACRES HOUSE,Kilkeel,Kilkeel Ireland ,54.0631154,-6.007004,,Down,,[1919],Waring,G.,f,single,
http://www.scarletfinders.co.uk/178.html,5138,general supply depot,BORCHA,Kilkeel,Kilkeel Ireland ,54.0631154,-6.007004,,Down,,[1919],Floyd,not stated,f,married,
"http://www.scarletfinders.co.uk/178.html / Kilkenny People 1895-current, Saturday, July 10, 1915; Page: 7 / Kilkenny People 1895-current, Saturday, November 06, 1915; Page: 7 / Evening Herald 1891-current, Wednesday, September 27, 1916; Page: 3",1704,general supply depot,BUTLER HOUSE (KILKENNY CASTLE?),Kilkenny,Kilkenny Ireland ,52.6541454,-7.2447879,,Kilkenny,1915,[1919],James,not stated,f,married,
"http://www.scarletfinders.co.uk/178.html / Kilkenny People 1895-current, Saturday, July 10, 1915; Page: 7",4323,general supply depot,BELLEVUE HOUSE,Kilkenny,Kilkenny Ireland ,52.6541454,-7.2447879,,Kilkenny,,[1919],Power,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Killala,Killala Ireland ,54.2125146,-9.2209999,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Killaloe,Killaloe Ireland ,52.808886,-8.4475152,Clare,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1565,general supply depot,COLTSMANN GLENFLESK CASTLE,Killarney,Killarney Ireland ,52.0599353,-9.5044265,,Killarney,,[1919],Crowin,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Killashandra,Killashandra Ireland ,54.0138727,-7.5282313,Fermanagh and Cavan (not clearly separated),,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Killeshandra,Killeshandra Ireland ,54.0138727,-7.5282313,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Killorglin,Killorglin Ireland ,52.1063508,-9.7843403,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Killybegs,Killybegs Ireland ,54.6347625,-8.4547084,Donegal,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5619,general supply depot,RIVERSFIELD,Kilmallock,Kilmallock Ireland ,52.3986564,-8.5709354,,,,[1919],Fildes,not stated,f,married,
"Freemans Journal 1763-1924, Saturday, August 04, 1917; Page: 4",none,general supply depot,not stated,Kingstown (now: (Dún Laoghaire),Kingstown (now: (Dún Laoghaire) Ireland ,53.2943958,-6.1338666,Dublin,,[1917],[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Kingstown (now: (Dún Laoghaire),Kingstown (now: (Dún Laoghaire) Ireland ,53.2943958,-6.1338666,Dublin,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Kingstown (Dún Laoghaire),Kingstown (Dún Laoghaire) Ireland ,53.2943958,-6.1338666,Dublin,,,[1919],,,,,
"Freemans Journal 1763-1924, Friday, March 22, 1918; Page: 2",none,woodwork sub-depot (men's section),not stated,Kingstown (Dún Laoghaire),Kingstown (Dún Laoghaire) Ireland ,53.2943958,-6.1338666,Dublin,,1918,[1919],Sir Dunbar Plunket Barton (baronet),,m,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Kinsale,Kinsale Ireland ,51.7058853,-8.5222327,Cork,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1849,general supply depot,LARK HILL,Larne,Larne Ireland ,54.8578003,-5.8236224,,Antrim,,[1919],Cousins,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,4069,general supply depot,"1 GOLF VIEW, BAY ROAD",Larne,Larne Ireland ,54.8578003,-5.8236224,,Antrim,,[1919],McCann,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Leixlip,Leixlip Ireland ,53.3638428,-6.4900033,Dublin,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Leixlip,Leixlip Ireland ,53.3638428,-6.4900033,Dublin,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4373,general supply depot,DRENAGH,Limavady,Limavady Ireland ,55.0454563,-6.9336758,,,,[1919],McCausland,not stated,f,married,
"http://www.scarletfinders.co.uk/178.html / The Nationalist (Tipperary) 1889-current, Wednesday, July 04, 1917; Page: 3",5224,general supply depot,INTERNATIONAL HOTEL,Limerick,Limerick Ireland ,52.6638367,-8.6267343,Limerick,Limerick,[1917],[1919],Hanna,E. A.,f,single,"C. W. Metcalfe, Slater"
http://www.scarletfinders.co.uk/178.html,4419,general supply depot,ST. JOHN'S AMBULANCE,Lisburn,Lisburn Ireland ,54.516246,-6.0580106,,Belfast Metropolitan Area,,[1919],Bell,G.R.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Lisdoonvarna,Lisdoonvarna Ireland ,53.0301669,-9.2897106,Clare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Lismore (and Aglish???),Lismore (and Aglish???) Ireland ,52.0715072,-7.8222696,Waterford,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Lismore and Tourin,Lismore and Tourin Ireland ,52.1201217,-7.8831009,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Listowel,Listowel Ireland ,52.4460488,-9.4853655,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Littleton,Littleton Ireland ,52.6369829,-7.735419,Tipperary,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Lixnaw,Lixnaw Ireland ,52.4064615,-9.6181276,Kerry,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4825,general supply depot,THE DEANERY,Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,Londonderry,,[1919],Hayes,not stated,f,not stated,
http://www.scarletfinders.co.uk/178.html,5015,general supply depot,KNOCKAN,Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,Londonderry,,[1919],Stevenson,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5550,general supply depot,THORN HILL,Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,Londonderry,,[1919],Watt,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5717,general supply depot,"SPRING HILL, QUIGLEY'S POINT",Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,Londonderry,,[1919],Cochrane,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5725,general supply depot,"THE RECTORY, CULMORE",Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,Londonderry,,[1919],Duggan,Rev. Robert,m,unkown,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Derry Journal 1844-1924, Wednesday, November 27, 1918; Page: 2",moss depot,moss depot,not stated,Derry / Londonderry,Londonderry Ireland ,54.9966124,-7.3085748,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Longford,Longford Ireland ,53.7276296,-7.7932573,Longford,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5045,not specified,"5045 LOUGH ESKE MRS RYAN, THE RECTORY",Lough Eske,Lough Eske Ireland ,54.6986613,-8.0426132,,Donegal,,[1919],Ryan,,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Loughcutra,Loughcutra Ireland ,53.032165,-8.8130209,Galway,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5229,not specified,Beechville,Loughgall,Loughgall Ireland ,54.4093603,-6.6029059,,Armagh,,[1919],Bates,not stated,f,single,
http://www.scarletfinders.co.uk/178.html,4214,not specified,20 CHURCH PLACE,Lurgan,Lurgan Ireland ,54.4635261,-6.3345506,,Armagh,,[1919],Greer,E.,f,single,
http://www.scarletfinders.co.uk/178.html,5417,not specified,WINDSOR BUILDINGS,Lurgan,Lurgan Ireland ,54.4635261,-6.3345506,,Armagh,,[1919],Mann,"A. W.
",f,married,
http://www.scarletfinders.co.uk/178.html,5518,not specified,20 CHURCH PLACE,Lurgan,Lurgan Ireland ,54.4635261,-6.3345506,,Armagh,,[1919],Greer,E.,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Macroom,Macroom Ireland ,51.9048039,-8.9588478,Cork,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5732,not specified,Todd Holly Mount,Maguiresbridge,Maguiresbridge Ireland ,54.29513,-7.46509,,Fermanagh,,[1919],Armstrong,E. (identical with Emma Armstrong who corresponded with Lady Clonbrock?),f,married,
http://www.scarletfinders.co.uk/178.html,5234,not specified,MALIN HALL,Malin,Malin Ireland ,55.2949279,-7.2630825,,Donegal,,[1919],Harvey,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Malleranny,Malleranny Ireland ,53.9061783,-9.7813773,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Mallow,Mallow Ireland ,52.1389762,-8.6539164,Cork,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4064,not specified,The Rectory,Markethill,Markethill Ireland ,54.2969635,-6.5217383,,Armagh,,[1919],Auchmuty,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Leinster Express 1831-current, Saturday, June 24, 1916; Page: 5",moss depot,moss depot & general supply depot,not stated,Maryborough,Maryborough Ireland ,51.8697663,-8.4239579,Queen’s County,Laois,Jan. 1916,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Maryborough,Maryborough Ireland ,51.8697663,-8.4239579,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,May (abbr. Maynooth?),May (abbr. Maynooth?) Ireland ,53.3812896,-6.5918499,Kildare,Kildare,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,"Melcomb (now: Melcombe, Lisduff, Co. Contae Mhaigh Eo, Éire
)","Melcomb (now: Melcombe, Lisduff, Co. Contae Mhaigh Eo, Éire
) Ireland ",53.8841662,-9.5625294,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Milestown (Castlebelling),Milestown (Castlebelling) Ireland ,53.8868685,-6.3823088,,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5221,not specified,KNOCKNAGEANE,Milford,Milford Ireland ,55.0883927,-7.6989621,,,,[1919],Osborne,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Milltown,Milltown Ireland ,52.1451912,-9.7175069,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Milltown,Milltown Ireland ,52.1451912,-9.7175069,Kerry,,,[1919],,,,,
"Westmeath Independent 1848-current, Saturday, August 19, 1916; Page: 5",none,general supply depot,Sisters of Mercy convent,Moate,Moate Ireland ,53.3949987,-7.7186188,,,May 1916,[1919],Reverend Mother,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Moate,Moate Ireland ,53.3949987,-7.7186188,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Monaghan,Monaghan Ireland ,54.2492434,-6.9683082,Monaghan,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Monasterevin,Monasterevin Ireland ,53.1400651,-7.060377,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Moore Abbey (Monastery),Moore Abbey (Monastery) Ireland ,52.9560245,-6.8228055,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Mountmellick,Mountmellick Ireland ,53.1181481,-7.3267379,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Mountmellick,Mountmellick Ireland ,53.1181481,-7.3267379,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Mountrath,Mountrath Ireland ,52.995014,-7.4675763,Queen’s County,Laois,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5648,not specified,ST. COLUMBS,Moville,Moville Ireland ,55.1890182,-7.0400533,,,,[1919],Montgomery,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5592,not specified,not stated,Moy (An Maigh),Moy (An Maigh) Ireland ,54.4466495,-6.6910263,Tyrone,Tyrone,,[1919],MacGeough Bond,The Lady,f,unkown,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",Sphagnum Collecting Centres,Sphagnum Collecting Centres,not stated,Moy (An Maigh),Moy (An Maigh) Ireland ,54.4466495,-6.6910263,Tyrone,Tyrone,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,moss collection centre,moss collection centre,not stated,Moyard,Moyard Ireland ,53.5438159,-10.0016434,Galway,,<1919,[1919],France-Lushington-Tulloch,Mrs,,,"Mrs K Tulloch (Moyard)
Miss Henry (Moyard)
Mrs A Irwin (Moyard)
"
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Mt. Leinster,Mt. Leinster Ireland ,52.6178434,-6.7796988,Carlow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Naas,Naas Ireland ,53.2205654,-6.659308,Kildare,Kildare,,[1919],,,,,
"Leinster Leader 1881-1929, Saturday, December 23, 1916; Page: 3 / Leinster Leader 1881-1929, Saturday, February 24, 1917; Page: 8",none,general supply depot,not stated,Naas,Naas Ireland ,53.2205654,-6.659308,Kildare,Kildare,[1917],[1919],Lady Albreda Bourke,,,,V. Moore
"Nationalist and Leinster Times 1883-current, Saturday, January 06, 1917; Page: 3",none,woodwork sub-depot (men's section),not stated,Naas,Naas Ireland ,53.2205654,-6.659308,Kildare,Kildare,Dec. 1915,[1919],Halsall,John R.,m,not stated,
"Leinster Leader 1881-1929, Saturday, December 23, 1916; Page: 3",none,woodwork sub-depot (men's section),NAVAN TECHNICAL SCHOOL,Navan,Navan Ireland ,53.647092,-6.6966605,Kildare,,Dec. 1916,[1919],the teachers,,m,not stated,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Navan,Navan Ireland ,53.647092,-6.6966605,Kildare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Navan,Navan Ireland ,53.647092,-6.6966605,Kildare,,,[1919],,,,,
"http://www.scarletfinders.co.uk/178.html / Nenagh Guardian 1838-current, Saturday, October 02, 1915; Page: 6",4744,general supply depot,KILBEY,Nenagh,Nenagh Ireland ,52.8642968,-8.1975561,,,1915,[1919],Dunalley,The Lady,f,not stated,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Nenagh,Nenagh Ireland ,52.8642968,-8.1975561,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Nenagh,Nenagh Ireland ,52.8642968,-8.1975561,Tipperary,,,[1919],,,,,
